filename,dice,iou,sensitivity,specificity,inference_ms
kaggle_007.png,0.9669,0.9359,0.9591,0.9976,586.75
kaggle_055.png,0.9623,0.9273,0.9532,0.9974,649.71
kaggle_044.png,0.9622,0.9272,0.9638,0.9962,652.65
kaggle_129.png,0.961,0.9248,0.9665,0.9954,687.06
kaggle_035.png,0.9607,0.9243,0.9588,0.9965,601.58
kaggle_043.png,0.9604,0.9238,0.9521,0.9967,605.27
kaggle_125.png,0.9603,0.9235,0.9532,0.9968,646.64
kaggle_146.png,0.9597,0.9226,0.9692,0.9958,661.58
kaggle_150.png,0.9591,0.9215,0.9572,0.9962,666.9
kaggle_143.png,0.9585,0.9204,0.953,0.9966,651.79
kaggle_119.png,0.9584,0.9202,0.9459,0.9973,664.94
kaggle_079.png,0.9581,0.9196,0.9581,0.9955,663.92
kaggle_047.png,0.9579,0.9193,0.9447,0.997,657.16
kaggle_198.png,0.9579,0.9192,0.9592,0.9962,668.38
kaggle_115.png,0.9576,0.9186,0.9501,0.9967,629.33
kaggle_134.png,0.9576,0.9186,0.9523,0.9952,633.85
kaggle_168.png,0.9575,0.9185,0.946,0.9974,668.25
kaggle_130.png,0.9571,0.9177,0.9626,0.9952,660.59
kaggle_080.png,0.957,0.9175,0.9479,0.9965,682.82
kaggle_200.png,0.9568,0.9171,0.9607,0.9951,635.06
kaggle_166.png,0.9564,0.9164,0.9401,0.9974,643.52
kaggle_056.png,0.9561,0.9158,0.9463,0.9971,656.08
kaggle_126.png,0.9561,0.9158,0.9527,0.9961,649.38
kaggle_188.png,0.9553,0.9144,0.9703,0.9947,726.58
kaggle_008.png,0.9552,0.9143,0.944,0.9965,590.24
kaggle_144.png,0.9548,0.9134,0.9541,0.9957,662.37
kaggle_020.png,0.9544,0.9129,0.9416,0.9967,596.77
kaggle_139.png,0.9532,0.9105,0.9413,0.9966,706.27
kaggle_135.png,0.9528,0.9098,0.9479,0.9968,629.81
kaggle_067.png,0.9525,0.9093,0.9529,0.9953,665.78
kaggle_066.png,0.9524,0.9092,0.9408,0.997,668.69
kaggle_113.png,0.9523,0.909,0.9632,0.9941,630.27
kaggle_087.png,0.9521,0.9085,0.9435,0.9961,661.54
kaggle_006.png,0.9519,0.9082,0.9549,0.9952,580.82
kaggle_010.png,0.9513,0.9072,0.9514,0.9954,555.27
kaggle_023.png,0.9513,0.907,0.942,0.9966,598.17
kaggle_127.png,0.9513,0.9072,0.9694,0.9915,641.12
kaggle_175.png,0.9509,0.9065,0.9571,0.9952,696.88
kaggle_108.png,0.9492,0.9032,0.9542,0.9944,666.61
kaggle_088.png,0.9489,0.9028,0.9254,0.9975,657.9
kaggle_091.png,0.9487,0.9025,0.9409,0.9956,700.22
kaggle_154.png,0.9487,0.9024,0.9584,0.9946,666.9
kaggle_140.png,0.9485,0.9021,0.9397,0.9972,651.34
kaggle_065.png,0.948,0.9012,0.9439,0.9954,670.42
kaggle_028.png,0.9477,0.9006,0.9346,0.9965,568.54
kaggle_093.png,0.9477,0.9006,0.9395,0.9957,686.68
kaggle_111.png,0.9475,0.9002,0.9329,0.9959,677.06
kaggle_103.png,0.947,0.8993,0.9339,0.996,614.61
kaggle_133.png,0.9468,0.8989,0.9439,0.9961,626.23
kaggle_090.png,0.9466,0.8986,0.9234,0.9976,726.0
kaggle_104.png,0.9466,0.8987,0.9392,0.9953,658.45
kaggle_033.png,0.9465,0.8984,0.9452,0.9952,603.97
kaggle_001.png,0.9462,0.8978,0.9495,0.9955,779.84
kaggle_156.png,0.9461,0.8977,0.9301,0.9956,684.58
kaggle_012.png,0.9457,0.8971,0.9531,0.9947,572.49
kaggle_180.png,0.9454,0.8965,0.9523,0.9951,670.24
kaggle_152.png,0.9448,0.8955,0.946,0.9946,638.96
kaggle_186.png,0.9448,0.8954,0.9402,0.9955,741.36
kaggle_170.png,0.9438,0.8937,0.9308,0.9965,681.81
kaggle_118.png,0.9435,0.893,0.9452,0.9955,659.53
kaggle_019.png,0.9434,0.8929,0.9523,0.9949,615.07
kaggle_046.png,0.943,0.8922,0.9451,0.9949,686.59
kaggle_157.png,0.9414,0.8894,0.925,0.9965,639.29
kaggle_199.png,0.9412,0.889,0.9442,0.9945,638.35
kaggle_014.png,0.941,0.8886,0.9406,0.9952,593.2
kaggle_089.png,0.941,0.8886,0.9208,0.9967,675.85
kaggle_179.png,0.9408,0.8882,0.9512,0.9946,624.01
kaggle_167.png,0.9406,0.8879,0.9156,0.9972,679.43
kaggle_177.png,0.939,0.8849,0.9501,0.9938,632.1
kaggle_076.png,0.9379,0.8831,0.909,0.997,628.8
kaggle_052.png,0.9365,0.8806,0.9173,0.9967,701.75
kaggle_105.png,0.9359,0.8795,0.9358,0.9933,666.79
kaggle_068.png,0.9357,0.8792,0.9179,0.9959,640.95
kaggle_092.png,0.9354,0.8786,0.915,0.9963,676.23
kaggle_196.png,0.9352,0.8782,0.9392,0.994,668.16
kaggle_190.png,0.935,0.8779,0.925,0.9959,631.87
kaggle_121.png,0.9337,0.8756,0.9203,0.9958,631.09
kaggle_034.png,0.9335,0.8754,0.9334,0.994,583.43
kaggle_038.png,0.9323,0.8732,0.9044,0.9967,608.91
kaggle_106.png,0.9317,0.8721,0.943,0.9924,659.22
kaggle_077.png,0.9315,0.8718,0.8984,0.9972,697.5
kaggle_122.png,0.9313,0.8714,0.9253,0.9949,688.64
kaggle_128.png,0.9307,0.8703,0.9524,0.9923,682.31
kaggle_197.png,0.9304,0.8699,0.9233,0.995,652.25
kaggle_141.png,0.9301,0.8693,0.905,0.9969,693.81
kaggle_161.png,0.9294,0.8682,0.9039,0.9966,657.2
kaggle_107.png,0.9289,0.8673,0.9312,0.9928,666.92
kaggle_124.png,0.9289,0.8672,0.9202,0.9952,652.64
kaggle_027.png,0.9287,0.8669,0.911,0.9966,605.11
kaggle_109.png,0.9283,0.8662,0.9408,0.991,671.21
kaggle_078.png,0.9271,0.8641,0.9007,0.9957,674.56
kaggle_017.png,0.927,0.8639,0.9073,0.9957,557.1
kaggle_178.png,0.927,0.864,0.9037,0.9958,670.67
kaggle_069.png,0.9268,0.8636,0.9207,0.9941,659.03
kaggle_155.png,0.9268,0.8635,0.9009,0.9957,664.13
kaggle_005.png,0.9266,0.8632,0.9159,0.9955,636.44
kaggle_162.png,0.9262,0.8625,0.9062,0.9956,615.77
kaggle_048.png,0.9257,0.8617,0.9085,0.9941,642.05
kaggle_132.png,0.9249,0.8603,0.9229,0.9947,665.27
kaggle_031.png,0.9246,0.8598,0.9102,0.9954,605.73
kaggle_145.png,0.9237,0.8582,0.9074,0.9948,674.19
kaggle_138.png,0.9232,0.8574,0.9223,0.9949,677.99
kaggle_100.png,0.923,0.8571,0.8923,0.9959,687.53
kaggle_070.png,0.9221,0.8554,0.9119,0.9947,617.6
kaggle_096.png,0.9216,0.8547,0.9202,0.9925,701.89
kaggle_194.png,0.9207,0.8531,0.9389,0.9942,641.5
kaggle_022.png,0.9203,0.8523,0.9122,0.9937,581.23
kaggle_051.png,0.9197,0.8513,0.9082,0.993,689.55
kaggle_114.png,0.9197,0.8514,0.8924,0.9962,663.35
kaggle_098.png,0.9189,0.85,0.8954,0.9945,656.75
kaggle_148.png,0.918,0.8485,0.9363,0.9951,635.4
kaggle_029.png,0.9165,0.8459,0.8895,0.9967,575.02
kaggle_112.png,0.9165,0.8459,0.8783,0.9958,647.84
kaggle_183.png,0.9154,0.8439,0.9096,0.993,689.01
kaggle_110.png,0.915,0.8433,0.9122,0.9943,624.58
kaggle_036.png,0.9148,0.843,0.9225,0.9935,601.19
kaggle_095.png,0.9148,0.843,0.8982,0.9935,684.67
kaggle_057.png,0.9132,0.8403,0.8995,0.9927,624.65
kaggle_123.png,0.913,0.84,0.8714,0.9959,671.52
kaggle_163.png,0.9118,0.838,0.8845,0.9961,649.08
kaggle_081.png,0.9115,0.8373,0.8819,0.9946,675.75
kaggle_151.png,0.9114,0.8372,0.918,0.9965,635.54
kaggle_191.png,0.9111,0.8368,0.8839,0.995,716.07
kaggle_185.png,0.9084,0.8321,0.8836,0.995,638.57
kaggle_142.png,0.9083,0.832,0.9394,0.9934,643.4
kaggle_062.png,0.9074,0.8305,0.9113,0.9937,715.02
kaggle_071.png,0.9062,0.8285,0.8883,0.9941,690.14
kaggle_045.png,0.9055,0.8273,0.9194,0.9941,678.22
kaggle_193.png,0.9054,0.8272,0.8877,0.994,658.69
kaggle_082.png,0.9036,0.8241,0.8559,0.9959,672.74
kaggle_097.png,0.9026,0.8224,0.8659,0.9943,644.94
kaggle_117.png,0.9026,0.8225,0.911,0.9934,674.26
kaggle_064.png,0.9017,0.821,0.899,0.9915,667.76
kaggle_094.png,0.9012,0.8202,0.8671,0.9943,629.55
kaggle_084.png,0.9009,0.8197,0.8684,0.9936,670.07
kaggle_063.png,0.8996,0.8175,0.9108,0.9891,668.41
kaggle_072.png,0.8994,0.8171,0.8739,0.9925,635.05
